,index,age,Emp_Tenure_Years,Tenure_with_Bank,region_code,NetBanking_Flag,Avg_days_between_transaction,cc_cons_apr,dc_cons_apr,cc_cons_may,dc_cons_may,cc_cons_jun,dc_cons_jun,cc_count_apr,cc_count_may,cc_count_jun,dc_count_apr,dc_count_may,dc_count_jun,card_lim,personal_loan_active,vehicle_loan_active,personal_loan_closed,vehicle_loan_closed,investment_1,investment_2,investment_3,investment_4,debit_amount_apr,credit_amount_apr,debit_count_apr,credit_count_apr,max_credit_amount_apr,debit_amount_may,credit_amount_may,credit_count_may,debit_count_may,max_credit_amount_may,debit_amount_jun,credit_amount_jun,credit_count_jun,debit_count_jun,max_credit_amount_jun,emi_active,account_type_saving,gender_M,Income_LOW,Income_MEDIUM,pred_cc_cons
10,15010,33.0,2.6,2,613.0,0,19.0,14771.0,1744.48,9716.06,523.55,11929.0,1295.0,23.0,23.0,82.0,1.0,18.0,3,650000.0,1,1,1.0,1,42460.6091,6574.31,24125.0,3897.0,60069.75,44587.0,62.0,11.0,3570.0,17396.73,286253.92,1.0,5.0,15146.0,165555.47,38946.75,21,58.0,44865.0,174.94,1,0,0,1,179961.37916666665
11,15011,29.0,8.1,3,249.0,0,14.0,9769.07,23902.24,2960.85,568.86,1813.13,3565.0,10.0,66.0,72.0,39.0,3.0,18,136000.0,1,1,1.0,1,811.0,93000.0,19400.0,10210.0,93550.74,52181.7,18.0,26.0,26345.29,43050.63,101245.0,70.0,81.0,17117.0,41711.11,76172.27,2,76.0,18708.0,1432.88,0,1,1,0,183088.75
12,15012,35.0,13.5,2,516.0,0,12.0,22885.34,3985.0,1584.0,15063.0,1039.0,4558.0,1.0,128.0,6.0,42.0,1.0,79,17000.0,1,1,1.0,1,101891.25,9866.9,12337.0,553.0,96932.5,5274.0,77.0,35.0,68234.0,138098.0,23821.0,45.0,20.0,18397.0,25769.59,48156.97,40,7.0,59403.0,2824.15,0,1,0,1,203731.33333333334
13,15013,34.0,11.200000000000001,8,583.0,0,12.0,1834.0,316.0,4515.72,14004.19,1561.505,397.88,101.0,3.0,89.0,24.0,2.0,17,263000.0,1,1,1.0,1,39851.93,14000.0,93651.0,0.0,179556.21,33723.38,147.0,0.0,18024.0,23161.06,40999.0,3.0,1.0,24896.87,35530.0,23647.0,58,21.0,40337.0,6922.52,0,1,0,1,203264.33333333334
14,15014,60.0,16.0,7,574.0,0,10.0,16192.21,9274.32,5264.5,152.0891,12363.77,965.0,6.0,13.0,50.0,48.0,31.0,3,267000.0,1,1,1.0,1,1112.4,191000.0,550.0,1500.0,19573.32,44989.0,55.0,1.0,8604.0,32587.0,56112.38,8.0,28.0,400819.0,9084.81,24240.0,5,113.0,14600.0,10337.52,0,1,0,1,112935.8325
15,15015,38.0,1.8,2,595.0,1,7.0,9241.52,16462.0,14321.7,2376.6,2065.52,8369.0,6.0,77.0,29.0,3.0,1.0,98,378000.0,1,1,1.0,1,168.75,16000.0,25524.0,2337.0,52333.0,34067.34,16.0,26.0,4030.0,21731.0,11177.0,1.0,7.0,30136.0,21051.0,90997.0,46,13.0,19910.0,1893.92,0,1,0,1,152702.79583333334
16,15016,47.0,21.6,5,355.0,1,15.0,99909.49,3503.05,985.73,894.8,3056.5,2826.0,5.0,9.0,74.0,1.0,12.0,4,579000.0,1,1,1.0,1,237823.88,115000.0,50000.0,10455.0,30548.61,193990.0,40.0,5.0,295000.0,35142.54,28092.0,4.0,36.0,108273.0,173448.21,84298.0,117,38.0,26826.0,1327.55,0,1,0,1,125191.08333333333
17,15017,53.0,26.400000000000002,4,809.0,1,10.0,9348.0,330.78,1825.0,2462.98,6340.0,562.5,7.0,43.0,50.0,21.0,5.0,47,505000.0,1,1,1.0,1,58928.67,70164.0,230000.0,-3053.0,67622.82,78937.0,4.0,17.0,40018.0,53080.74,52347.0,1.0,20.0,36982.0,28645.55,63484.91,2,80.0,39999.0,7970.12,0,0,0,1,198967.0
18,15018,40.0,4.0,10,233.0,1,15.0,10305.52,12199.47,28310.29,4720.0,12809.0,6953.0,104.0,128.0,117.0,47.0,27.0,56,124000.0,1,1,1.0,1,1482778.95,385218.7,25000.0,6885.0,57862.0,56823.0,11.0,1.0,43584.0,24145.0,131796.0,3.0,25.0,71341.0,23571.61,64509.0,2,83.0,30426.0,8359.12,0,0,1,0,149053.08333333334
19,15019,29.0,9.0,3,762.0,1,9.0,65151.17,384.14,46510.92,1545.52,2044.0,3176.0,9.0,36.0,32.0,8.0,2.0,6,46000.0,1,1,1.0,1,1359.3,429273.4,13533.0,6885.0,25639.95,52718.0,39.0,29.0,36977.0,3333.74,36863.0,5.0,108.0,21826.0,230629.25,5146.0,40,75.0,5743.0,4978.08,0,1,0,1,198719.0
20,15020,35.0,6.0,7,535.0,1,10.0,3374.07,255.0,21816.45,3767.72,4134.75,10210.0,8.0,11.0,70.0,53.0,1.0,70,195000.0,1,1,1.0,1,743915.3,78050.0,48500.0,-6335.0,45144.0,43051.0,42.0,2.0,27627.68,28681.0,30514.0,7.0,50.0,99440.0,162431.92,30711.0,93,58.0,10756.0,10199.13,0,1,0,1,180981.00833333333
21,15021,37.0,10.200000000000001,2,799.0,1,2.0,1335.0,933.2,122756.08819999857,3484.0,757.0,5966.0,124.0,1.0,52.0,48.0,1.0,34,152000.0,1,1,1.0,1,199690.5,470000.0,3975.0,6916.0,15452.75,34608.0,46.0,5.0,13818.0,61569.45,42025.0,45.0,42.0,53601.0,36370.62,9199.0,8,83.0,55267.0,2825.87,1,1,1,0,190945.0
22,15022,53.0,19.8,7,249.0,0,15.0,30584.88,961.14,4942.0,8033.84,4970.24,9863.68,1.0,1.0,50.0,47.0,2.0,3,114000.0,1,1,1.0,1,60800.0,50034.93,13873.0,3983.0,25514.33,459.0,11.0,4.0,64192.0,95670.71,12098.0,4.0,20.0,50457.0,88953.81,110725.0,3,49.0,14170.0,10748.54,0,1,0,1,162055.54583333334
23,15023,37.0,15.3,10,867.0,1,2.0,35937.11,341.0,4803.885,574.0,5068.0,5762.0,1.0,43.0,2.0,2.0,1.0,29,421000.0,1,1,1.0,1,942327.7,482147.0,711.0,1444.0,11111.0,205294.0,42.0,23.0,10100.0,11036.15,231085.0,2.0,23.0,34556.0,110189.5,26094.25,2,80.0,34803.0,2646.72,0,1,1,0,165144.5
24,15024,42.0,11.0,4,233.0,0,16.0,10889.0,10258.0,3392.26,9374.0,618.0,3487.0,14.0,6.0,32.0,3.0,14.0,56,298000.0,1,1,1.0,1,72383.25,1187335.5,936.0,-5998.43994,205455.04,224013.0,70.0,36.0,327000.0,124029.78,70424.0,3.0,81.0,28107.0,38951.46,1384.84,9,21.0,10413.0,7114.19,0,1,0,1,215254.16666666666
25,15025,49.0,5.800000000000001,6,299.0,1,8.0,4569.35,3691.9,23192.64,5207.04,6295.475,298.0,6.0,27.0,49.0,1.0,2.0,26,330000.0,1,1,1.0,1,11027.5,108145.0,20887.0,5464.0,49445.46,55290.0,11.0,3.0,32332.0,1489.69,112331.24,0.0,81.0,379628.0,40615.39,52519.0,7,3.0,48432.0,896.26,0,1,0,1,171558.75
26,15026,34.0,5.6000000000000005,4,968.0,1,13.0,10476.0,23128.0,28147.0,13561.0,3873.23,4281.0,20.0,77.0,73.0,2.0,1.0,75,400000.0,1,1,1.0,1,825.0,409168.15,925.0,8723.0,14630.71,55021.0,8.0,1.0,47362.0,12680.81,63787.0,1.0,2.0,22102.0,53675.37,42401.25,4,1.0,69578.0,7522.08,0,1,0,0,173703.7125
27,15027,33.0,5.2,4,911.0,1,17.0,3076.0,5693.23,2776.8,11110.93,3851.0,9199.0,66.0,56.0,44.0,8.0,1.0,4,35800.0,1,1,1.0,1,1263221.7,105000.0,3570.0,12415.0,18073.0,528718.6100000005,77.0,11.0,400012.7400000003,16947.0,116437.0,9.0,7.0,48500.0,2025.02,88388.0,9,14.0,44411.0,10033.1,0,0,0,0,162781.66666666666
28,15028,38.0,18.0,10,299.0,1,15.0,20185.21,4258.0,10334.31,70242.82630000074,4219.055,2727.0,2.0,26.0,135.0,10.0,4.0,5,510000.0,1,1,1.0,1,118686.17,500358.79,68000.0,5340.0,13576.0,86388.0,147.0,2.0,125461.0,43520.29,8030.0,1.0,49.0,143880.0,40105.25,96712.0,43,49.0,35253.0,4411.0,0,1,1,0,150869.5
29,15029,47.0,10.8,10,614.0,1,7.0,19254.08,13359.0,6579.5,1050.7,5741.0,15647.48,29.0,23.0,59.0,1.0,9.0,98,232000.0,1,1,1.0,1,154363.25,10947.0,19400.0,171.0,2636.25,75715.39,9.0,0.0,14897.0,31853.67,46827.0,2.0,38.0,12675.0,66357.92,24070.0,2,57.0,9837.0,13244.87,0,0,0,1,153265.75
30,15030,62.0,29.400000000000002,8,823.0,1,15.0,20867.5,11044.0,1271.22,296.0,19493.5,685.0,3.0,5.0,47.0,62.0,37.0,4,430000.0,1,1,1.0,1,98543.96,12971.0,30000.0,5350.0,68552.96,20982.0,84.0,28.0,111759.0,38742.81,10057.0,43.0,82.0,16145.0,25317.28,63827.0,12,50.0,48538.0,989.03,1,1,0,1,159101.5
31,15031,120.0,70.0,6,374.0,1,7.0,1522.52,6972.0,3755.99,70242.82630000074,31101.0,3098.0,2.0,13.0,4.0,50.0,17.0,30,187000.0,1,1,1.0,1,4039029.9,24000.0,5797.0,-5998.43994,5516.0,57478.0,7.0,15.0,25138.0,122905.78,70500.66,4.0,7.0,37376.0,43159.44,284126.53,7,25.0,12971.0,9921.56,0,1,0,1,168881.91666666666
32,15032,62.0,29.400000000000002,10,858.0,1,20.0,5379.99,2465.01,8773.63,35084.3,9726.46,1303.0,1.0,4.0,82.0,5.0,4.0,70,173000.0,1,1,1.0,1,156875.0,1752254.0,2841.0,6885.0,59790.42,87697.58,10.0,5.0,30854.81,47324.12,127676.0,1.0,35.0,113770.0,25785.55,77318.0,19,39.0,60645.0,6527.86,0,0,1,0,137890.0
33,15033,58.0,15.200000000000001,6,488.0,1,15.0,16930.0,27167.0,20422.51,164.0,3470.0,10115.14,92.0,23.0,27.0,2.0,36.0,56,660000.0,1,1,1.0,1,140262.4,429273.4,6000.0,1500.0,19077.09,26232.0,18.0,3.0,13730.0,305486.99,10191.0,10.0,44.0,116394.0,75664.32,27872.0,62,106.0,11667.0,4634.27,1,1,0,1,126529.66666666667
34,15034,55.0,17.5,5,488.0,0,13.0,8974.0,3550.0,9823.0,1742.99,12286.77,4696.12,531.0,10.0,50.0,1.0,1.0,1,518000.0,1,1,1.0,1,137260.8,154121.9,2156.0,5773.0,107760.52,55377.0,42.0,23.0,507.0,271566.82,39548.0,6.0,12.0,46463.0,54350.02,31150.08,7,103.0,69364.0,109.72,0,1,0,1,144973.58333333334
35,15035,47.0,2.7,7,269.0,0,8.0,58228.02,330.78,4736.2,152.0891,4496.0,1889.0,9.0,1.0,84.0,1.0,21.0,11,408000.0,1,1,1.0,1,96218.53,1194405.5,49975.0,-6281.37987999999,497648.8248000015,27382.5,16.0,36.0,70750.0,60455.0,147063.0,5.0,42.0,17997.95,36803.72,176481.35,12,52.0,9874.0,7016.93,0,1,0,0,182447.5
36,15036,33.0,6.5,6,575.0,0,4.0,28861.83,20021.0,5247.2,342.0,22935.98,3007.39,67.0,99.0,50.0,3.0,36.0,79,222000.0,1,1,1.0,1,3502.8,64309.52,45000.0,20324.0,7117.25,106901.0,40.0,1.0,26064.0,12621.25,35166.0,6.0,4.0,155168.0,12190.7,14706.0,94,14.0,24387.0,15217.78,0,1,0,1,183764.25
37,15037,53.0,16.5,6,261.0,0,14.0,14433.2,1514.0,28323.84,3182.0,5942.325,760.72,8.0,25.0,5.0,25.0,4.0,4,53000.0,1,1,1.0,1,28844.0,65174.0,3570.0,6885.0,19713.57,24338.0,42.0,3.0,30876.0,53651.57,32551.0,50.0,5.0,42133.0,111386.79,36323.0,117,8.0,37211.0,5469.79,0,1,0,1,157026.83333333334
38,15038,27.0,0.9,3,538.0,1,14.0,38993.54,736.0,2122.0,5282.0,2201.0,276.96,44.0,1.0,1.0,20.0,1.0,20,267000.0,1,1,1.0,1,204585.76,93.35,1018.0,3897.0,25258.78,51912.0,7.0,26.0,33324.0,451535.4951000006,48597.0,17.0,63.0,1342.47,101101.17,100839.79,3,36.0,32336.0,18383.91,0,1,0,0,107272.62916666667
39,15039,53.0,26.400000000000002,7,269.0,0,12.0,13302.3,2814.0,24278.49,12238.6,1851.995,705.55,1.0,7.0,74.0,53.0,11.0,47,369000.0,1,1,1.0,1,5210.85,50034.93,50000.0,0.0,30008.22,18134.0,46.0,1.0,11980.0,30986.78,182908.0,43.0,11.0,29922.0,124697.24,124080.0,22,1.0,66329.0,293.49,0,1,0,1,211395.58333333334
40,15040,30.0,9.0,8,836.0,0,15.0,1045.0,1216.0,26975.19,8390.0,883.1,20455.0,124.0,77.0,61.0,50.0,3.0,1,19000.0,1,1,1.0,1,4614669.901,3084.5,43798.0,-4664.0,28657.0,65497.95,3.0,7.0,21551.0,61547.46,15618.0,6.0,81.0,25972.0,43452.73,9268.46,3,13.0,14879.0,1500.22,0,1,1,0,215607.91666666666
41,15041,33.0,1.3,9,685.0,1,6.0,8674.0,1007.2,32994.095,3758.0,7892.0,737.0,44.0,3.0,16.0,24.0,1.0,7,47000.0,1,1,1.0,1,225823.8,961916.9,4000.0,2008.0,12421.68,35167.0,16.0,4.0,24616.0,19355.0,23306.0,2.0,86.0,47866.0,105440.94,66178.0,4,6.0,32916.0,4621.07,0,0,0,1,130360.33333333333
42,15042,35.0,12.0,4,640.0,1,9.0,11275.24,2841.0,103931.51,30072.0,14478.0,815.0,7.0,6.0,64.0,11.0,2.0,4,524000.0,1,1,1.0,1,76780.0,64491.0,925.0,-5715.49022999999,42035.25,459.0,5.0,35.0,40615.0,20173.0,61707.0,5.0,14.0,22120.0,54634.0,135193.0,3,0.0,790.0,2947.76,0,1,0,1,152224.41666666666
43,15043,42.0,13.200000000000001,5,698.0,1,16.0,3758.6,11356.0,19170.64,10154.0,40716.03,4562.0,43.0,16.0,13.0,7.0,4.0,9,300000.0,1,1,1.0,1,41883.6,21698.0,539.0,2819.0,19156.89,61176.0,18.0,4.0,116875.22,17000.85,117228.0,3.0,63.0,41059.44,33003.1,50513.0,2,49.0,19672.0,2222.58,0,1,0,1,165652.58333333334
44,15044,58.0,30.400000000000002,4,799.0,1,14.0,9446.0,10558.42,8024.31,11257.0,2519.0,2683.35,8.0,29.0,50.0,25.0,12.0,2,134000.0,1,1,1.0,1,510.6,80489.0,2184.0,9415.0,16747.88,29450.0,67.0,36.0,34378.0,23615.25,45011.0,8.0,8.0,53561.0,111386.79,38154.14,117,39.0,20000.0,46188.74,0,0,1,0,158410.58333333334
45,15045,33.0,6.5,6,658.0,1,4.0,23011.04,2232.84,3542.5,4760.0,12097.0,1401.0,4.0,50.0,44.0,23.0,1.0,4,378000.0,1,1,1.0,1,13659.0,90829.65,73217.0,-6301.0,78086.26,27100.0,24.0,2.0,23597.0,27942.0,55638.04,1.0,81.0,22259.0,78181.75,43963.39,4,24.0,18189.0,9432.9,0,1,0,1,164481.41666666666
46,15046,31.0,6.6000000000000005,6,258.0,1,18.0,3540.46,1440.0,7203.52,690.48,555.0,42960.0,8.0,17.0,50.0,35.0,1.0,67,170000.0,1,1,1.0,1,1112.4,49298.99,3975.0,-5439.0,41105.25,53874.0,24.0,35.0,140158.0,145398.5,72997.5,2.0,25.0,33724.0,28397.79,175647.0,36,36.0,36090.0,1259.97,0,1,0,1,197722.33333333334
47,15047,33.0,6.5,9,628.0,1,4.0,1310.85,5466.0,669.0,2143.1,8526.0,5683.0,12.0,22.0,19.0,26.0,4.0,5,750000.0,1,1,1.0,1,3247.5,86000.0,23500.0,-5942.0,153894.28,9563.0,22.0,0.0,17842.0,176623.66,95272.3,23.0,63.0,114389.0,43727.48,4887.05,21,65.0,19317.0,9698.08,0,1,0,1,116847.41666666667
48,15048,34.0,12.600000000000001,9,653.0,0,13.0,1602.405,7334.0,3394.49,2162.76,3953.995,1424.0,19.0,1.0,64.0,44.0,25.0,29,150000.0,1,1,1.0,1,360978.37,111500.0,28912.0,6260.0,71838.74,53968.0,62.0,33.0,1260.0,42080.01,88056.0,2.0,70.0,24013.0,21587.0,36949.0,49,21.0,29326.0,14546.85,0,1,0,1,176810.91666666666
49,15049,36.0,6.4,7,299.0,1,17.0,11710.0,387.93,6218.3,547.0,21136.0,2637.0,44.0,10.0,87.0,42.0,5.0,13,660000.0,1,1,1.0,1,3101.3,32714.0,73217.0,-6301.0,93309.51,5642.65,35.0,0.0,37877.87,148342.17,317261.0,2.0,108.0,55223.0,28966.0,36718.0,43,12.0,60164.0,5491.65,0,1,0,0,205110.75
50,15050,40.0,18.0,10,450.0,1,17.0,89259.0,2448.0,7203.815,12666.76,7123.0,828.04,5.0,56.0,42.0,1.0,6.0,42,784000.0,1,1,1.0,1,318640.58,128314.74,12337.0,903.0,45799.3,66722.0,11.0,1.0,19575.0,55189.0,47800.68,8.0,34.0,11366.0,114477.3,26713.0,1,58.0,96375.0,2403.13,0,0,0,1,162482.58333333334
51,15051,56.0,28.8,3,523.0,1,5.0,20743.54,4754.99,8793.5,6515.64,3378.76,3501.5,17.0,56.0,4.0,47.0,2.0,80,267000.0,1,1,1.0,1,95.0,253000.0,24094.0,1500.0,41620.14,154398.22,70.0,1.0,400012.7400000003,1650.0,112189.0,3.0,20.0,96358.0,357196.73,82593.42,3,11.0,36798.0,3348.67,0,1,0,0,134120.25
52,15052,38.0,7.2,6,945.0,0,14.0,13155.0,4740.0,16300.56,21899.2,19850.0,1159.0,6.0,83.0,14.0,5.0,1.0,4,301000.0,1,1,1.0,1,158135.2,64491.0,3000.0,2921.0,554.75,205608.5,42.0,43.0,9015.73,12828.69,40182.0,2.0,81.0,20988.0,38208.42,42401.25,7,10.0,97085.2,2481.04,0,1,1,0,155235.5
53,15053,42.0,15.4,9,963.0,1,9.0,42900.62,1274.99,85255.3,1717.0,12351.0,40323.9,60.0,2.0,64.0,2.0,3.0,34,282000.0,1,1,1.0,1,825.0,879134.4,11379.0,12174.0,132181.02,21132.0,42.0,1.0,92262.0,141353.08,59660.0,4.0,9.0,54405.0,39720.41,18129.0,7,58.0,6086.0,381.33,0,1,0,1,139485.66666666666
54,15054,53.0,3.3000000000000003,5,805.0,1,18.0,5985.2,388.0,5471.0,348.99,3013.965,3877.52,7.0,28.0,47.0,18.0,1.0,11,423000.0,1,1,1.0,1,670875.0,278360.16,5905.0,2921.0,146620.03,1158.0,3.0,7.0,88247.0,157626.38,29550.0,2.0,9.0,22554.0,71466.84,124918.0,58,67.0,28136.21,1819.91,1,1,1,0,164010.2125
55,15055,28.0,4.800000000000001,2,628.0,1,13.0,763.0,7791.0,16249.01,6457.62,6115.0,1287.0,5.0,18.0,23.0,25.0,1.0,1,267000.0,1,1,1.0,1,14574.8,42723.0,183999.0,-6885.0,26450.09,47777.2,48.0,6.0,341875.0,79013.61,63493.0,47.0,8.0,121289.0,198784.85,103129.5,43,17.0,19172.0,10759.85,1,1,1,0,171711.16666666666
56,15056,30.0,5.0,5,866.0,1,15.0,707.0,2686.01,21043.7,1307.0,5780.0,8243.0,63.0,26.0,29.0,1.0,31.0,34,78000.0,1,1,1.0,1,9255.43,500358.79,23500.0,5340.0,21941.6,54005.0,103.0,1.0,32044.0,29346.75,11794.0,5.0,29.0,36128.71,37498.0,64262.79,1,79.0,24583.0,2770.05,1,1,1,0,159819.91666666666
57,15057,30.0,7.0,1,248.0,1,8.0,35774.45,3602.82,2391.24,4446.66,872.0,2033.0,5.0,37.0,9.0,8.0,38.0,13,599000.0,1,1,1.0,1,89908.8,39833.19,6100.0,3735.0,18004.01,275395.0,3.0,7.0,135156.0,4028.75,79020.0,5.0,1.0,18919.68,75958.9,10096.0,14,7.0,44009.0,18502.92,1,0,0,1,181785.87916666665
58,15058,37.0,17.0,3,818.0,1,8.0,24700.72,26648.45,5975.0,2859.0,17918.89,949.15,1.0,5.0,29.0,57.0,11.0,64,263000.0,1,1,1.0,1,98543.96,24000.0,105000.0,6885.0,27998.88,27226.0,11.0,2.0,47446.0,15183.5,40460.86,7.0,20.0,45486.0,15173.92,89787.0,40,9.0,49269.0,8486.25,0,1,0,1,165773.08333333334
59,15059,37.0,5.1000000000000005,1,683.0,1,3.0,979.04,580.0,11960.12,8458.0,2408.415,1574.0,9.0,23.0,67.0,50.0,2.0,79,45000.0,1,1,1.0,1,544500.0,190887.4,28913.0,0.0,137726.97,102924.0,46.0,4.0,17197.0,108390.92,21381.0,7.0,4.0,58431.0,72264.16,1035.0,40,21.0,20903.0,8631.17,0,1,0,1,201953.5458333333
60,15060,47.0,18.900000000000002,10,858.0,1,12.0,6421.6,4489.0,8437.5,2681.03,8374.315,15472.21,44.0,56.0,16.0,5.0,62.0,8,84000.0,1,1,1.0,1,102.95,82907.34,891.0,3421.0,38944.91,62925.1,18.0,36.0,33117.0,43427.74,2038.0,31.0,108.0,35542.0,58038.97,28728.0,19,50.0,31725.0,9622.48,0,1,1,0,130270.83333333333
61,15061,53.0,33.0,10,639.0,0,15.0,14351.79,2931.0,5723.67,4726.96,7781.54,3906.0,7.0,26.0,38.0,1.0,26.0,5,52000.0,1,1,1.0,1,7304.75,159308.0,5905.0,-5942.0,79335.94,20331.0,103.0,14.0,78577.0,109561.75,392358.81,0.0,82.0,25467.0,43913.72,99320.0,28,39.0,29791.0,820.27,0,1,1,0,207191.91666666666
62,15062,42.0,2.2,10,269.0,1,15.0,40719.23,1799.04,9492.5,348.99,14624.19,721.0,1.0,30.0,6.0,1.0,1.0,56,85000.0,1,1,1.0,1,94127.1,186474.96,536.0,1332.0,396266.16,58072.0,67.0,17.0,103134.0,80935.17,49356.0,5.0,59.0,26138.0,14539.37,16080.0,39,50.0,14896.0,12481.64,0,1,1,0,182089.4625
63,15063,60.0,12.0,2,516.0,1,5.0,27109.0,10276.0,16931.54,4122.0,3894.0,2306.0,15.0,16.0,5.0,50.0,23.0,26,195000.0,1,1,1.0,1,22086.05,158000.0,130000.0,24326.0,146618.31,36030.0,18.0,30.0,80501.0,2541.11,62792.0,5.0,50.0,53744.0,59757.09,297042.16,40,0.0,17894.0,30340.33,0,1,1,0,188437.16666666666
64,15064,46.0,5.2,6,614.0,1,13.0,978.0,10852.0,31735.81,448.0,720.0,912.0,6.0,10.0,89.0,22.0,18.0,4,358000.0,1,1,1.0,1,825.0,376600.5,54101.0,24326.0,135437.42,32510.0,3.0,7.0,73909.0,24762.52,140278.0,9.0,171.0,21457.0,19444.56,2179.0,6,106.0,10413.0,3836.95,0,1,0,0,184476.0
65,15065,53.0,26.400000000000002,7,447.0,1,18.0,2092.24,146.97,39645.61,10935.0,2089.0,24091.76,5.0,2.0,64.0,42.0,21.0,13,784000.0,1,1,1.0,1,825.0,74599.9,25000.0,-5439.0,28614.88,37736.0,46.0,3.0,60168.0,10132.0,33538.0,3.0,38.0,28292.0,21489.33,32707.0,12,3.0,28950.0,16447.45,0,0,0,1,168980.41666666666
